[E 241215 20:51:56 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'FULL', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:09 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:10 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
[E 241215 21:11:11 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote. Error: Tokens max limit exceeded. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/market/v1/quote, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '96:fe:38:0a:3b:00', 'Accept': 'application/json', 'X-PrivateKey': '0rNQURBd', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'mode': 'LTP', 'exchangeTokens': {'NSE': ['1406', '14592', '20302', '1186', '14672', '13786', '10599', '13285', '371', '4749', '13750', '3417', '20242', '17438', '3411', '21238', '212', '14309', '14366', '17903', '8479', '30108', '335', '11654', '18564', '9685', '2963', '15380', '24948', '958', '8596', '1424', '275', '3718', '17400', '21690', '312', '2263', '422', '760', '16713', '9599', '15355', '11373', '11351', '21614', '739', '15332', '17094', '13404', '18365', '17869', '4684', '1633', '17875', '11543', '7929', '10243', '2412', '4503', '18096', '10753', '10440', '11403', '2043', '4745', '22377', '9590', '11262', '6656', '10738', '10666', '3405', '2277', '1964', '11703', '8075', '1512', '19943', '3721', '5373', '1023', '2142', '8954', '2029', '3812', '14418', '17388', '4306', '6705', '1997', '438', '19234', '14299', '1901', '11184', '18011', '163', '11915']}}, Response: {'message': 'Tokens max limit exceeded', 'errorcode': 'AB4029', 'status': False, 'data': None}
